ID,APP_DBM_ID,Slug,Item,unit_of_measure,Type,Part,Price
1,1,10191509-IN-A01,"INSECTICIDE, aerosol type, net content: 600ml min",can,Solvents,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,139.36
2,2,12191601-AL-E01,"ALCOHOL, ethyl, 68%-70%, scented, 500ml (-5ml)",bottle,Solvents,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,43.79
3,3,12171703-SI-P01,"STAMP PAD INK, purple or violet",bottle,Color Compounds and Dispersions,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,30.8
4,4,13111203-AC-F01,"ACETATE, thickness: 0.075mm min (gauge #3)",roll,Films,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,847.82
5,5,13111201-CF-P01,"CARBON FILM, PE, black, size 210mm x 297mm",box,Films,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,221
6,6,13111201-CF-P02,"CARBON FILM, PE, black, size 216mm x 330mm",box,Films,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,208.52
7,7,14111525-CA-A01,"CARTOLINA, assorted colors",pack,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,83.72
8,8,14111506-CF-L11,"CONTINUOUS FORM, 1 PLY, 280 x 241mm",box,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,682.24
9,9,14111506-CF-L12,"CONTINUOUS FORM, 1 PLY, 280 x 378mm",box,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1029.6
10,10,14111506-CF-L22,"CONTINUOUS FORM, 2 ply, 280 x 378mm, carbonless",box,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1528.8
11,11,14111506-CF-L21,"CONTINUOUS FORM, 2 ply, 280mm x 241mm, carbonless",box,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,906.36
12,12,14111506-CF-L31,"CONTINUOUS FORM, 3 PLY, 280 x 241mm, carbonless",box,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,884
13,13,14111506-CF-L32,"CONTINUOUS FORM, 3 PLY, 280 x 378mm, carbonless",box,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1508
14,14,14111609-LL-C01,"LOOSELEAF COVER, made of chipboard, for legal",bundle,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,794.96
15,15,14111514-NP-S02,"NOTE PAD, stick on, 50mm x 76mm (2"" x 3"") min",pad,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,37.06
16,16,14111514-NP-S04,"NOTE PAD, stick on, 76mm x 100mm (3"" x 4"") min",pad,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,59.28
17,17,14111514-NP-S03,"NOTE PAD, stick on, 76mm x 76mm (3"" x 3"") min",pad,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,47.73
18,18,14111514-NB-S01,"NOTEBOOK, STENOGRAPHER, spiral, 40 leaves",piece,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,12.04
19,19,14111507-PP-M01,"PAPER, MULTICOPY, 80gsm, size: 210mm x 297mm",ream,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,170.56
20,20,14111507-PP-M02,"PAPER, MULTICOPY, 80gsm, size: 216mm x 330mm",ream,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,181.42
21,21,14111507-PP-C01,"PAPER, Multi-Purpose (COPY) A4, 70 gsm",ream,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,128.44
22,22,14111507-PP-C02,"PAPER, Multi-Purpose (COPY) Legal, 70 gsm",ream,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,169.4
23,23,14111531-PP-R01,"PAPER, PAD, ruled, size: 216mm x 330mm (� 2mm)",pad,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,29.12
24,24,14111503-PA-P01,"PAPER, PARCHMENT, size: 210 x 297mm, multi-purpose",ream,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,101.71
25,25,14111818-TH-P02,"PAPER, THERMAL, 55gsm, size: 216mm�1mm x 30m-0.3m",roll,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,55.64
26,26,14111531-RE-B01,"RECORD BOOK, 300 PAGES, size: 214mm x 278mm min",book,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,70.72
27,27,14111531-RE-B02,"RECORD BOOK, 500 PAGES, size: 214mm x 278mm min",book,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,101.92
28,28,14111704-TT-P02,"TOILET TISSUE PAPER 2-plys sheets, 150 pulls",pack,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,87.4
29,29,26111702-BT-A02,"BATTERY, dry cell, AA, 2 pieces per blister pack",pack,Batteries and Cells and Accessories,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,19.73
30,30,26111702-BT-A01,"BATTERY, dry cell, AAA, 2 pieces per blister pack",pack,Batteries and Cells and Accessories,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,19.73
31,31,26111702-BT-A03,"BATTERY, dry cell, D, 1.5 volts, alkaline",pack,Batteries and Cells and Accessories,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,96.2
32,32,31201610-GL-J01,"GLUE, all purpose, gross weight: 200 grams min",jar,Manufacturing Components and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,62.1
33,33,31151804-SW-H01,"STAPLE WIRE, for heavy duty staplers, (23/13)",box,Manufacturing Components and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,19.76
34,34,31151804-SW-S01,"STAPLE WIRE, STANDARD, (26/6)",box,Manufacturing Components and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,22.55
35,35,31201502-TA-E01,"TAPE, ELECTRICAL, 18mm x 16M min",roll,Manufacturing Components and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,18.67
36,36,31201503-TA-M01,"TAPE, MASKING, width: 24mm (�1mm)",roll,Manufacturing Components and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,54.6
37,37,31201503-TA-M02,"TAPE, MASKING, width: 48mm (�1mm)",roll,Manufacturing Components and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,106.6
38,38,31201517-TA-P01,"TAPE, PACKAGING, width: 48mm (�1mm)",roll,Manufacturing Components and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,19.97
39,39,31201512-TA-T01,"TAPE, TRANSPARENT, width: 24mm (�1mm)",roll,Manufacturing Components and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,10.09
40,40,31201512-TA-T02,"TAPE, TRANSPARENT, width: 48mm (�1mm)",roll,Manufacturing Components and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,19.97
41,41,31151507-TW-P01,"TWINE, plastic, one (1) kilo per roll",roll,Manufacturing Components and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,58.24
42,42,40101604-EF-G01,"ELECTRIC FAN, INDUSTRIAL, ground type, metal blade",unit,Heating and Ventilation and Air Circulation,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1109.68
43,43,40101604-EF-C01,"ELECTRIC FAN, ORBIT type, ceiling,  metal blade",unit,Heating and Ventilation and Air Circulation,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1369.68
44,44,40101604-EF-S01,"ELECTRIC FAN, STAND type, plastic blade",unit,Heating and Ventilation and Air Circulation,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,856.88
45,45,40101604-EF-W01,"ELECTRIC FAN, WALL type, plastic blade",unit,Heating and Ventilation and Air Circulation,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,770.11
46,46,39101605-FL-T01,"FLUORESCENT LAMP,  18 WATTS, linear tubular (T8)",piece,Lighting and Fixtures and Accessories,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,39.39
47,47,39101628-LB-L01,"Ligth Bulb, LED, 7 watts 1 pc in individual box",piece,Lighting and Fixtures and Accessories,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,82.16
48,48,41111604-RU-P02,"RULER, plastic, 450mm (18""), width: 38mm min",piece,Measuring and Observing and Testing Equipment,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,17.68
49,49,47131812-AF-A01,"AIR FRESHENER, aerosol, 280ml/150g min",can,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,86.06
50,50,47131604-BR-S01,"BROOM, soft (tambo)",piece,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,136.24
51,51,47131604-BR-T01,"BROOM, STICK (TING-TING), usable length: 760mm min",piece,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,18.2
52,52,47131829-TB-C01,"CLEANER,TOILET BOWL AND URINAL, 900ml-1000ml cap",bottle,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,41.6
53,53,47131805-CL-P01,"CLEANSER, SCOURING POWDER, 350g min./can",can,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,23.92
54,54,47131811-DE-B02,"DETERGENT BAR, 140 grams as packed",bar,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,9.03
55,55,47131811-DE-P02,"DETERGENT POWDER, all purpose, 1kg",pack,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,37.43
56,56,47131803-DS-A01,"DISINFECTANT SPRAY, aerosol type, 400-550 grams",can,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,128.96
57,57,47131601-DU-P01,"DUST PAN, non-rigid plastic, w/ detachable handle",piece,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,24.83
58,58,47131802-FW-P02,"FLOOR WAX, PASTE, RED",can,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,309.76
59,59,47131830-FC-A01,"FURNITURE CLEANER, aerosol type, 300ml min per can",can,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,115.53
60,60,47121804-MP-B01,"MOP BUCKET, heavy duty, hard plastic",unit,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2288
61,61,47131613-MP-H02,"MOPHANDLE, heavy duty, aluminum, screw type",piece,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,145.6
62,62,47131619-MP-R01,"MOPHEAD, made of rayon, weight: 400 grams min",piece,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,123.76
63,63,47131501-RG-C01,"RAGS, all cotton, 32 pieces per kilogram min",bundle,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,53.82
64,64,47131602-SC-N01,"SCOURING PAD, made of synthetic nylon, 140 x 220mm",pack,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,107.12
65,65,47121701-TB-P04,"TRASHBAG, plastic, transparent",roll,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,134.68
66,66,47121702-WB-P01,"WASTEBASKET, non-rigid plastic",piece,Cleaning Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,23.59
67,67,43211507-DCT-03,"Desktop Computer, branded",unit,Information and Communication Technology (ICT) Equipment and Devices and Accessories,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,39208
68,68,43201827-HD-X02,"EXTERNAL HARD DRIVE, 1TB, 2.5""HDD, USB 3.0",piece,Information and Communication Technology (ICT) Equipment and Devices and Accessories,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2714
69,69,43202010-FD-U01,"FLASH DRIVE, 16 GB capacity",piece,Information and Communication Technology (ICT) Equipment and Devices and Accessories,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,167.44
70,70,43211503-LCT-03,"Laptop Computer, branded",unit,Information and Communication Technology (ICT) Equipment and Devices and Accessories,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,45747.52
71,71,43211708-MO-O01,"MOUSE, optical, USB connection type",unit,Information and Communication Technology (ICT) Equipment and Devices and Accessories,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,111.3
72,72,43212102-PR-D02,"PRINTER, IMPACT DOT MATRIX, 24 pins, 136 column",unit,Information and Communication Technology (ICT) Equipment and Devices and Accessories,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,38100.97
73,73,43212102-PR-D01,"PRINTER, IMPACT DOT MATRIX, 9 pins, 80 columns",unit,Information and Communication Technology (ICT) Equipment and Devices and Accessories,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,9191.52
74,74,43212105-PR-L01,"PRINTER, LASER, monochrome, network-ready",unit,Information and Communication Technology (ICT) Equipment and Devices and Accessories,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,724.88
75,75,44121710-CH-W01,"CHALK, molded, white, dustless, length: 78mm min",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,29.64
76,76,44122105-BF-C01,"CLIP, BACKFOLD, all metal, clamping: 19mm (-1mm)",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,9.05
77,77,44122105-BF-C02,"CLIP, BACKFOLD, all metal, clamping: 25mm (-1mm)",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,15.27
78,78,44122105-BF-C03,"CLIP, BACKFOLD, all metal, clamping: 32mm (-1mm)",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,20.8
79,79,44122105-BF-C04,"CLIP, BACKFOLD, all metal, clamping: 50mm (-1mm)",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,47.84
80,80,44121801-CT-R01,"CORRECTION TAPE, film base type, UL 6m min",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,14.02
81,81,44111515-DF-B01,"DATA FILE BOX, made of chipboard, with closed ends",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,77.2
82,82,44122011-DF-F01,"DATA FOLDER, made of chipboard, taglia lock",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,68.64
83,83,44121506-EN-D01,"ENVELOPE, DOCUMENTARY, for A4 size document",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,673.09
84,84,44121506-EN-D02,"ENVELOPE, DOCUMENTARY, for legal size document",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,927.16
85,85,44121506-EN-X01,"ENVELOPE, EXPANDING, KRAFTBOARD,for legal size doc",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,738.4
86,86,44121506-EN-X02,"ENVELOPE, EXPANDING, PLASTIC, 0.50mm thickness min",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,30.4928
87,87,44121506-EN-M02,"ENVELOPE, MAILING,white, 80gsm (-5%)",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,362.44
88,88,44121504-EN-W02,"ENVELOPE, mailing, white, with window",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,414.13
89,89,44111912-ER-B01,"ERASER, FELT, for blackboard/whiteboard",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,10.3
90,90,44122118-FA-P01,"FASTENER, METAL, 70mm between prongs",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,83.41
91,91,44111515-FO-X01,"FILE ORGANIZER, expanding, plastic, 12 pockets",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,86.04
92,92,44122018-FT-D01,"FILE TAB DIVIDER, bristol board, for A4",set,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,11.13
93,93,44122018-FT-D02,"FILE TAB DIVIDER, bristol board, for legal",set,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,14.23
94,94,44122011-FO-F01,"FOLDER, FANCY, for A4 size documents",bundle,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,270.4
95,95,44122011-FO-F02,"FOLDER, FANCY, for legal size documents",bundle,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,311.88
96,96,44122011-FO-L01,"FOLDER, L-TYPE, PLASTIC, for A4 size documents",pack,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,187.08
97,97,44122011-FO-L02,"FOLDER, L-TYPE, PLASTIC, for legal size documents",pack,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,243.24
98,98,44122027-FO-P01,"FOLDER, PRESSBOARD, size: 240mm x 370mm (-5mm)",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,952.64
99,99,44122011-FO-T03,"FOLDER, TAGBOARD, for A4 size documents",pack,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,279
100,100,44122011-FO-T04,"FOLDER, TAGBOARD, for legal size documents",pack,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,321.36
101,101,44122008-IT-T01,"INDEX TAB, self-adhesive, transparent",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,53.14
102,102,44111515-MF-B02,"MAGAZINE FILE BOX, LARGE size, made of chipboard",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,41.6
103,103,44121716-MA-F01,"MARKER, FLUORESCENT, 3 assorted colors per set",set,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,44.41
104,104,44121708-MW-B01,"MARKER, whiteboard, black, felt tip, bullet type",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,13.38
105,105,44121708-MW-B02,"MARKER, whiteboard, blue, felt tip, bullet type",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,13.38
106,106,44121708-MW-B03,"MARKER, whiteboard, red, felt tip, bullet type",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,13.38
107,107,44121708-MP-B01,"MARKER, PERMANENT, bullet type, black",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,8.98
108,108,44121708-MP-B02,"MARKER, PERMANENT, bullet type, blue",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,8.98
109,109,44121708-MP-B03,"MARKER, PERMANENT, bullet type, red",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,8.98
110,110,44122104-PC-G01,"PAPER CLIP, vinyl/plastic coat, length: 32mm min",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,7.76
111,111,44122104-PC-J02,"PAPER CLIP, vinyl/plastic coat, length: 48mm min",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,14.04
112,112,44121706-PE-L01,"PENCIL, lead, w/ eraser, wood cased, hardness: HB",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,20.79
113,113,44122037-RB-P10,"RING BINDER, 80 rings, plastic, 32mm x 1.12m",bundle,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,239.79
114,114,44122101-RU-B01,"RUBBER BAND, 70mm min lay flat length (#18)",box,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,109.5
115,115,44121905-SP-F01,"STAMP PAD, FELT, bed dimension: 60mm x 100mm min",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,34.13
116,116,44121612-BL-H01,"CUTTER BLADE, for heavy duty cutter",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,14.82
117,117,44121612-CU-H01,"CUTTER KNIFE, for general purpose",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,33.43
118,118,44103202-DS-M01,"DATING AND STAMPING MACHINE, heavy duty",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,453.96
119,119,44121619-PS-M01,"PENCIL SHARPENER, manual, single cutter head",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,202.8
120,120,44101602-PU-P01,"PUNCHER, paper, heavy duty, with two hole guide",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,131.96
121,121,44121618-SS-S01,"SCISSORS, symmetrical, blade length: 65mm min",pair,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,40.56
122,122,44121615-ST-S01,"STAPLER, STANDARD TYPE, load cap: 200 staples min",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,176.8
123,123,44121615-ST-B01,"STAPLER, BINDER TYPE, heavy duty, desktop",unit,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,914.16
124,124,44121613-SR-P01,"STAPLE REMOVER, PLIER-TYPE",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,24.9
125,125,44121605-TD-T01,"TAPE DISPENSER, TABLE TOP, for 24mm width tape",piece,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,55.83
126,126,44101602-PB-M01,"BINDING AND PUNCHING MACHINE, binding cap: 50mm",unit,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,9534.72
127,127,44101807-CA-C01,"CALCULATOR, compact, 12 digits",unit,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,346.85
128,128,44101714-FX-M01,"FACSIMILE MACHINE, uses thermal paper",unit,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,5642
129,129,44101601-PT-M01,"PAPER TRIMMER/CUTTING MACHINE, max paper size: B4",unit,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,9297.6
130,130,44101603-PS-M01,"PAPER SHREDDER, cutting width: 3mm-4mm (Entry Level)",unit,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,5699.2
131,131,44101603-PS-M02,"PAPER SHREDDER, cutting width: 3mm-4mm (Mid-Level)",unit,Office Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
132,132,44103109-BR-D05,"DRUM CART, BROTHER DR-3455",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,6947.2
133,133,44103105-CA-C04,"INK CART, CANON CL-741, Col.",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,989.04
134,134,44103105-CA-C02,"INK CART, CANON CL-811, Colored",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1029.6
135,135,44103105-CA-B04,"INK CART, CANON PG-740, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,754
136,136,44103105-CA-B02,"INK CART, CANON PG-810, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,780
137,137,44103105-EP-B17,"INK CART, EPSON C13T664100 (T6641), Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,249.6
138,138,44103105-EP-C17,"INK CART, EPSON C13T664200 (T6642), Cyan",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,249.6
139,139,44103105-EP-M17,"INK CART, EPSON C13T664300 (T6643), Magenta",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,249.6
140,140,44103105-EP-Y17,"INK CART, EPSON C13T664400 (T6644), Yellow",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,249.6
141,141,44103105-HP-B40,"INK CART, HP C2P04AA (HP62) Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,773.76
142,142,44103105-HP-T40,"INK CART, HP C2P06AA (HP62) Tri-color",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,950.56
143,143,44103105-HP-B09,"INK CART, HP C9351AA, (HP21), Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,795.6
144,144,44103105-HP-T10,"INK CART, HP C9352AA, (HP22), Tri-color",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,920.4
145,145,44103105-HP-T30,"INK CART, HP C9363WA, (HP97), Tri-color",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1492.4
146,146,44103105-HP-P48,"INK CART, HP C9397A (HP72) 69ml Photo Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1996.8
